"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R43","res,_0805,_HD","46.475mm","9.35mm","46.475mm","9.35mm","46.475mm","8.4mm","T","90.00","CRCW08053K32FKEA"
"C27","Cap,0805","16.7503mm","15.371mm","16.7503mm","15.371mm","16.7503mm","16.321mm","T","270.00","GRM21A5C2E101JW01D"
"U3","SOT23-5","81.35mm","22.2mm","81.35mm","22.2mm","80.4001mm","20.8998mm","T","180.00","TLV70333DBVR"
"C8","CAP,_0805,_HD","81.35mm","19mm","81.35mm","19mm","80.334mm","19mm","T","360.00","08055C104JAT2A"
"R33","res,_0805,_HD","55.725mm","10.455mm","55.725mm","10.455mm","55.725mm","11.405mm","T","270.00","Vishay / Dale CRCW080510K0FKTA"
"R50","res,_0805,_HD","57.645mm","10.455mm","57.645mm","10.455mm","57.645mm","11.405mm","T","270.00","CRCW08052K20FKEA"
"Q6","SOT23-3","37.85mm","15.96mm","37.85mm","15.96mm","38.8076mm","17.0188mm","T","360.00","SMBT2222A"
"J1","Header,8Pin,SingleRow,_RA,0.1"","51.835mm","5.005mm","51.835mm","5.005mm","42.945mm","5.005mm","T","360.00","HEADER,0.1",8Pin,SinlgeRow"
"J2","Header,8Pin,SingleRow,_RA,0.1"","72.155mm","5.005mm","72.155mm","5.005mm","63.265mm","5.005mm","T","360.00","HEADER,0.1",8Pin,SinlgeRow"
"J3","Header,8Pin,SingleRow,_RA,0.1"","11.195mm","5.005mm","11.195mm","5.005mm","2.305mm","5.005mm","T","360.00","HEADER,0.1",8Pin,SinlgeRow"
"J4","Header,8Pin,SingleRow,_RA,0.1"","31.515mm","5.005mm","31.515mm","5.005mm","22.625mm","5.005mm","T","360.00","HEADER,0.1",8Pin,SinlgeRow"
"C4","CAP,_0805,_HD","50.8562mm","31.8515mm","50.8562mm","31.8515mm","49.8402mm","31.8515mm","T","0.00","08055C104JAT2A"
"D4","SOT23-3","54.825mm","29.355mm","54.825mm","29.355mm","53.7662mm","30.3126mm","T","90.00","BAT54SLT1G"
"R3","res,_0805,_HD","50.875mm","29.705mm","50.875mm","29.705mm","51.825mm","29.705mm","T","180.00","Vishay CRCW08051K00JNEA"

