Field=Comment~String~Comment~70|Field=Description~String~Description~70|Field=Designator~String~Designator~70|Field=Footprint~String~Footprint~70|Field=LibRef~String~LibRef~70|Field=Manufacturer 1~String~Manufacturer 1~70|Field=Manufacturer 2~String~Manufacturer 2~117|Field=Manufacturer 4~String~Manufacturer 4~117|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~70|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~117|Field=Manufacturer Part Number 4~String~Manufacturer Part Number 4~117|Field=Quantity~Integer~Quantity~70|Field=Supplier 1~String~Supplier 1~70|Field=Supplier 2~String~Supplier 2~117|Field=Supplier 4~String~Supplier 4~117|Field=Supplier Currency 1~String~Supplier Currency 1~70|Field=Supplier Currency 2~String~Supplier Currency 2~117|Field=Supplier Currency 4~String~Supplier Currency 4~117|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~70|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~117|Field=Supplier Order Qty 4~Integer~Supplier Order Qty 4~117|Field=Supplier Part Number 1~String~Supplier Part Number 1~103|Field=Supplier Part Number 2~String~Supplier Part Number 2~117|Field=Supplier Part Number 4~String~Supplier Part Number 4~117|Field=Supplier Stock 1~Integer~Supplier Stock 1~59|Field=Supplier Stock 2~Integer~Supplier Stock 2~117|Field=Supplier Stock 4~Integer~Supplier Stock 4~117|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~59|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~117|Field=Supplier Subtotal 4~Float~Supplier Subtotal 4~117|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~54|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~117|Field=Supplier Unit Price 4~Float~Supplier Unit Price 4~117|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~Eload Gen 3 Power Module.PrjPcb|ReportField=ProjectFullPath~C:\Users\shawn\OneDrive\Shawn\electronic load\Cicuit Studio\Gen 3\Eload Gen 3 Power Module\Eload Gen 3 Power Module.PrjPcb|ReportField=Title~BOM_PartType For Project [Eload Gen 3 Power Module.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~44|ReportField=ReportTime~10:31:41 PM|ReportField=ReportDate~2/2/2020|ReportField=ReportDateTime~2/2/2020 10:31:41 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Eload Gen 3 Power Module.PrjPcb|ReportField=DataSourceFullPath~C:\Users\shawn\OneDrive\Shawn\electronic load\Cicuit Studio\Gen 3\Eload Gen 3 Power Module\Eload Gen 3 Power Module.PrjPcb
M3 hex Standoff|HEX STANDOFF M3,generic|M1, M2, M3, M4, M5|Standoff,Hex,M3,8mm|Standoff, M3, Hex|||||||5||||||||||||||||||||||||||||||
CRCW0805100KFKEA|100 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thick Film|R5|res, 0805, HD|Res,0805,100kO,1%,100ppm,CRCW0805100KFKEA||Loading...|||Loading...||1|RS|Digi-Key|||Loading...||||||541-100KCCT-ND|||||||||||||||||||
CSSH2728FT10L0|10 mOhms ±1% 4W Chip Resistor Wide 2827 (7067 Metric), 2728 Automotive AEC-Q200, Current Sense Metal Foil|R20|Res,2827,4W|Res,2827,shunt,10mO,1%,15ppm,CSSH2728FT10L0|||||||1||||||||||||||||||||||||||||||
Diode|Singal RA Mosfet TO-247 with CPU cooler|PM1|Mod,Single TO-247-RA Horizontal CPU Cooler - LGBracket|MOD, Singal Mosfet with Heatsink|||||||1||||||||||||||||||||||||||||||
EE2-5NU|RELAY GEN PURPOSE DPDT 2A 5VDC|Rly1|Relay,SMD,Gull Wing,DPDT (2 Form C),EE2-5NU|Relay,DPDT,2A,250VAC, 220VDC,5Vdc,EE2-5NU|KEMET|||EE2-5NU|||1|Digi-Key|||Loading...||||||399-11056-5-ND|||0|||||||||||||||||
ELoad Gen 3 - User Interface - Rev 1|Mod, ELoad Gen 3 - User Interface - Rev 1|Mod2|Mod,Eload Gen 3- UI Rev 1 - Vertical|Mod,Eload Gen 3 - USER INTERFACE - Rev 1|||||||1||||||||||||||||||||||||||||||
KRL1632E-M-R220-F-T5|RES 0.22 OHM 1% 3/4W 1206|R21|Res,1206|Res,1206,0.22Ohm,1%,0.75W,50ppm,KRL1632E-M-R220-F-T5|||||||1||||||||||||||||||||||||||||||
MBRS140|DIODE SCHOTTKY 40V 1A SMB|D4|DO214AA|Diode,Schottky,40V,1A,SMB,MBRS140|ON Semiconductor / Fairchild|ON Semiconductor||MBRS140|MBRS140T3G||1|Digi-Key|LCSC||USD|AUD||3000|100||MBRS140FSTR-ND|C133091||0|23915||271.8|10.93||0.0906|0.1093||||||||||
MMSZ4705T1G|Zener Diode 18V 500mW ±5% Surface Mount SOD-123|D3|SOD123|diode,Zener, 18V,500mW, SOD123,MMSZ4705T1G|ON Semiconductor|||MMSZ4705T1G|||1|Digi-Key|||USD|||100|||MMSZ4705T1GOSCT-ND|||50857|||6.66|||0.0666|||||||||||
MMSZ5240BT1G|Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel|D1|SOD123|Diode, Zener,SOD-123,10V,500mW, MMSZ5240BT1G|ON Semiconductor|ON Semiconductor||MMSZ5240BT1G|MMSZ5240BT1G||1|Digi-Key|LCSC||USD|AUD||100|100||MMSZ5240BT1GOSCT-ND|C82084||24005|6210||6.66|3.93||0.0666|0.0393||||||||||
NTCLE100E3333JB0|THERMISTOR NTC 33KOHM 4090K BEAD|NTC1|NTC,TH,2.54mm Lead Spacing,NTCLE100E3103JT2 -RA|Sensor,Temp,NTC,33Kohm,±1.5%, NTCLE100E3333JB0|Vishay BCcomponents|||NTCLE100E3333JB0|||1|Digi-Key|||USD|||100|||BC2308-ND|||39163|||35.74|||0.3574|||||||||||
PJ-002A|Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle|J7|Connector,Barrel,2.1mm,5.5mm,DC power Jack|Connector,Barrel,ID 2.1mm,OD 5.5mm,Power Connect, PJ-002A|CUI Devices|||PJ-002A|||1|Digi-Key|||USD|||100|||CP-002A-ND|||51506|||42.78|||0.4278|||||||||||
Res1|RES SMD 0.0 OHM JUMPER 1/3W 0805|R7|res, 0805, HD|Res,0805,0.0O,150V|||||||1||||||||||||||||||||||||||||||
RK73H2ATTD4752F|47.5 kOhms ±1% 0.25W, 1/4W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film|R3|res, 0805, HD|Res,0805,47.5KO,1%,100ppm,RK73H2ATTD4752F|KOA Speer|||RK73H2ATTD4752F|||1|Digi-Key|||USD|||100|||2019-RK73H2ATTD4752FCT-ND|||35528|||1.36|||0.0136|||||||||||
SFW20R-1STE1LF|CONN FFC BOTTOM 20POS 1.00MM R/A|J4|Connector,FlatFlex,20Pin,RA|Connector,FFC,SMD,20Pin,1mmSpc,SFW20R-1STE1LF|Amphenol FCI|||SFW20R-1STE1LF|||1|Digi-Key|||USD|||100|||609-1913-6-ND|||7667|||44.4|||0.444|||||||||||
SMBT2222A|NPN Silicon Switching Transistor, 40 V VCEO, 600 mA IC, SOT23, Reel, Green|Q3|SOT23-3|Trans,40V,600mA,0.33W, SMBT2222A|Infineon|Infineon|Infineon|SMBT2222AE6327HTSA1|MMBT2222ALT1HTSA1|MMBT2907ALT1HTSA1|1|Digi-Key|Digi-Key|LCSC|USD|USD|AUD|100|100|100|SMBT2222AE6327HTSA1CT-ND|MMBT2222ALT1HTSA1CT-ND|C151510|43268|46965|1169|7.57|8.16|11.34|0.0757|0.0816|0.1134|Infineon|SMBT2222AE6327HTSA1|Digi-Key|USD|100|SMBT2222AE6327HTSA1DKR-ND|43268|7.57|0.0757
SUP70101EL-GE3|MOSFET P-CH 100V 120A TO220AB|Q1|TO-220 RA|MOSFET,P-Chan,100V,120A,TO220, SUP70101EL-GE3|Vishay|||SUP70101EL-GE3|||1|Digi-Key|||USD|||100|||SUP70101EL-GE3-ND|||576|||191.97|||1.9197|||||||||||
Support PCBA|Mod,Eload Gen 3 Control rev 1|MOD1|Mod,ELoad Gen 3 Rev 1 Support|Mod,Eload Gen 3 Control rev 1|||||||1||||||||||||||||||||||||||||||
Vishay CRCW08051K00JNEA|Res Thick Film 0805 1K Ohm 5% 0.125W(1/8W) ±200ppm/C Molded SMD Automotive Paper T/R|R2|res, 0805, HD|Res,0805,1.00 kO,5%,200ppm,CRCW08051K00JNEA|Vishay Dale|||CRCW08051K00JNEA|||1|Digi-Key|||USD|||100|||541-1.0KADKR-ND|||160795|||1.62|||0.0162|||||||||||
