Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|ReportField=Currency~CAD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~Eload Gen 3 Control Module.PrjPcb|ReportField=ProjectFullPath~E:\OneDrive\Shawn\electronic load\Circuit Studio\Gen 3\Eload Gen 3 Control Module\Eload Gen 3 Control Module.PrjPcb|ReportField=Title~BOM_PartType For Project [Eload Gen 3 Control Module.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~214|ReportField=ReportTime~10:54:58 PM|ReportField=ReportDate~6/2/2021|ReportField=ReportDateTime~6/2/2021 10:54:58 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.00|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=Letter 8.5"x11" 22x28cm|PaperIndex=1|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Eload Gen 3 Control Module.PrjPcb|ReportField=DataSourceFullPath~E:\OneDrive\Shawn\electronic load\Circuit Studio\Gen 3\Eload Gen 3 Control Module\Eload Gen 3 Control Module.PrjPcb
2N7002ET1G|Small Signal MOSFET, 60 V, 310 mA, Single, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel|Q1|SOT23-3|MOSFET,N-Channel,SOT23,0.25A,60V,2N7002ET1G|ON Semiconductor|ON Semiconductor|2N7002ET1G|2N7002ET1G|2|Digi-Key|LCSC|CAD|Loading...|200||2N7002ET1GOSCT-ND|C71533|0|0|27.41719||0.13709|
SMBT2222A|NPN Silicon Switching Transistor, 40 V VCEO, 600 mA IC, SOT23, Reel, Green|Q3, Q3, Q3, Q4, Q5, Q5, Q5, Q6, Q11, Q11, Q12, Q12|SOT23-3|Trans,40V,600mA,0.33W, SMBT2222A|Infineon|Infineon|SMBT2222AE6327|MMBT2222ALT1HTSA1|12|Digi-Key|Digi-Key|CAD|CAD|1200|1200|SMBT2222AE6327HTSA1CT-ND|MMBT2222ALT1HTSA1CT-ND|89716|43621|78.28396|84.54057|0.06524|0.07045
TNPW080582K5BEEA|82.5 kOhms ±0.1% 0.2W, 1/5W Chip Resistor 0805 (2012 Metric) Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant Thin Film|R1|res, 0805, HD|Res,0805,82.5KO,0.1%,25ppm, TNPW080582K5BEEA|Vishay Dale||TNPW080582K5BEEA||2|Digi-Key||CAD||200||541-3231-1-ND||7549||81.2088||0.40604|
CRGCQ0805F15K|15 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film|R2|res, 0805, HD|Res,0805,15KO,1%,±100ppm/°C,CRGCQ0805F15K|TE Connectivity||CRGCQ0805F15K||2|Digi-Key||CAD||200||A129763CT-ND||31866||5.01038||0.02505|
Vishay CRCW08051K00JNEA|Res Thick Film 0805 1K Ohm 5% 0.125W(1/8W) ±200ppm/C Molded SMD Automotive Paper T/R|R3, R3, R13, R13, R13, R15, R26, R26, R28, R28, R37, R37, R38, R38, R40, R40, R44, R44, R49, R49|res, 0805, HD|Res,0805,1.00 kO,5%,200ppm,CRCW08051K00JNEA|Vishay Dale|Vishay Dale|CRCW08051K00JNEA|CRCW08051K00JNEA|20|Digi-Key|Digi-Key|CAD|CAD|2000|2000|541-1.0KADKR-ND|541-1.0KACT-ND|0|0|19.32937|19.32937|0.00966|0.00966
ERA-6AEB472V|RES 4.7K OHM 0.1% 1/8W 0805|R4, R4, R16, R16|res, 0805, HD|Res,0805,4.7KO,0.1%,±25ppm/°C,ERA-6AEB472V|Panasonic||ERA-6AEB472V||4|Digi-Key||CAD||400||P4.7KDACT-ND||0||52.03671||0.13009|
Vishay / Dale CRCW080510K0FKTA|RES SMD 10K OHM 1% 1/8W 0805|R5, R5, R5, R6, R29, R29, R32, R32, R33, R33, R34, R34, R39, R39, R45, R45, R47, R47|res, 0805, HD|Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA|Vishay Dale||CRCW080510K0FKTA||18|Digi-Key||CAD||1800||541-3016-1-ND||646||47.3824||0.02632|
CRCW0805100KFKEA|100 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thick Film|R7, R7, R7, R8, R11, R11, R11, R12, R35, R35, R36, R36, R41, R41, R42, R42|res, 0805, HD|Res,0805,100kO,1%,100ppm,CRCW0805100KFKEA||Loading...||Loading...|16|RS|Digi-Key||Loading...||||541-100KCCT-ND||||||
CRCW0805100RJNEAC|RES 100 OHM 5% 1/8W 0805|R20, R20, R51, R51|res, 0805, HD|Res,0805,100O,5%,±200ppm/°C|Vishay Dale||CRCW0805100RJNEA||4|Digi-Key||CAD||400||541-100ACT-ND||0||8.64735||0.02162|
Vishay Dale CRCW0805221RFKTA|RES SMD 221 OHM 1% 1/8W 0805|R21, R21, R23, R23|res, 0805, HD|Res,0805,221O,1%,100ppm,CRCW0805221RFKTA|Vishay||CRCW0805221RFKEA||4|Digi-Key||CAD||400||541-221CCT-ND||0||13.53056||0.03383|
