"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SW3","ROTARY_ENCODER","103.395mm","32.145mm","103.395mm","32.145mm","105.895mm","24.895mm","T","0.00","Bourns PEC11R-4220K-S0024"
"M3","Standoff,Hex,M3,8mm","4.034mm","55.6086mm","4.034mm","55.6086mm","4.034mm","55.6086mm","T","0.00","M3 hex Standoff"
"M1","Mech,Bracket,RA,#6,Threaded","6.75mm","10.454mm","6.75mm","10.454mm","6.75mm","10.454mm","B","90.00","4334"
"M2","Mech,Bracket,RA,#6,Threaded","116.45mm","10.454mm","116.45mm","10.454mm","116.45mm","10.454mm","B","90.00","4334"
"M4","Standoff,Hex,M3,8mm","118.484mm","55.372mm","118.484mm","55.372mm","118.484mm","55.372mm","T","0.00","M3 hex Standoff"
"R14","res,_0805,_HD","38.7975mm","17.604mm","38.7975mm","17.604mm","38.7975mm","18.554mm","B","270.00","CRCW0805100RJNEAC"
"Q3","SOT23-3","35.9mm","17.6087mm","35.9mm","17.6087mm","34.8412mm","16.6511mm","B","270.00","2N7002ET1G"
"D1","LED,SMD,BOTTOM_ENTRY,1206","78.5125mm","54.354mm","78.5mm","52.554mm","78.5mm","52.554mm","B","90.00","LTST-C230KGKT"
"J3","HEADER-1X2,0.1"","119mm","40.404mm","119mm","40.404mm","119mm","41.674mm","T","270.00","Generic Header"
"J1","HEADER-1X2,0.1"","95.5mm","54.25mm","95.5mm","54.25mm","96.77mm","54.25mm","T","180.00","Generic Header"
"R15","res,_0805,_HD","33.1476mm","17.554mm","33.1476mm","17.554mm","33.1476mm","18.504mm","B","270.00","Vishay CRCW08051K00JNEA"
"C10","Cap,0805","54.5mm","13.7348mm","54.5mm","13.7348mm","54.5mm","12.7848mm","B","90.00","08055C104JAT2A"
"C11","Cap,0805","52.35mm","5.4348mm","52.35mm","5.4348mm","52.35mm","4.4848mm","B","90.00","08055C104JAT2A"
"Q7","SOT23-3","46.55mm","9.3848mm","46.55mm","9.3848mm","47.6088mm","10.3424mm","B","90.00","2N7002ET1G"
"Q8","SOT23-3","53.55mm","9.3848mm","53.55mm","9.3848mm","52.4912mm","8.4272mm","B","270.00","2N7002ET1G"
"Q9","SOT23-3","50.05mm","9.3848mm","50.05mm","9.3848mm","48.9912mm","8.4272mm","B","270.00","2N7002ET1G"
"R23","res,_0805,_HD","46.75mm","5.5848mm","46.75mm","5.5848mm","46.75mm","6.5348mm","B","270.00","CRCW08053K32FKEA"
"R24","res,_0805,_HD","49.45mm","4.3848mm","49.45mm","4.3848mm","48.5mm","4.3848mm","B","360.00","CRCW08052K20FKEA"
"R25","res,_0805,_HD","45.7mm","13.6348mm","45.7mm","13.6348mm","45.7mm","12.6848mm","B","90.00","Vishay CRCW08051K00JNEA"
"R26","res,_0805,_HD","48.4mm","14.6348mm","48.4mm","14.6348mm","47.45mm","14.6348mm","B","360.00","Vishay / Dale CRCW080510K0FKTA"
"R27","res,_0805,_HD","49.45mm","6.3848mm","49.45mm","6.3848mm","50.4mm","6.3848mm","B","180.00","CRCW0805100KFKEA"
"R28","res,_0805,_HD","48.4mm","12.6348mm","48.4mm","12.6348mm","47.45mm","12.6348mm","B","360.00","Vishay / Dale CRCW080510K0FKTA"
"U2","SOT23-5","51.75mm","13.6848mm","51.75mm","13.6848mm","52.7mm","12.3846mm","B","360.00","74AHC1G14GW,125"
"PZT1","Buzzer,PKM13EPYH4000-A0","44.95mm","23.95mm","44.95mm","23.95mm","44.95mm","21.45mm","T","90.00","PKM13EPYH4000-A0"

